Album,Artist,Year,URL,Track number,Track name,Filename,ID,Folder,Correct folder
EASY,NO DOZ,2015,http://nodoz.bandcamp.com,1,BERN,NO DOZ - EASY - 01 BERN.flac,2645,NO DOZ - EASY,NO DOZ - EASY
Onho,Noel Meek,2015,http://pseudoarcana.bandcamp.com,1,Onho,Noel Meek - Onho - 01 Onho.flac,2649,Noel Meek - Onho,Noel Meek - Onho
Impression Of V.N. Probe,Not From Space,2013,http://notfromspace.bandcamp.com,1,Impression Of V.N. Probe,Not From Space - Impression Of V_N_ Probe - 01 Impression Of V_N_ Probe.flac,2651,Not From Space - Impression Of V_N_ Probe,Not From Space - Impression Of V_N_ Probe
Takes,Not From Space,2014,http://notfromspace.bandcamp.com,1,Defensive,Not From Space - Takes - 01 Defensive.flac,2653,Not From Space - Takes,Not From Space - Takes
False Idols EP,Olie Bassweight,2014,http://oliebassweight.bandcamp.com,1,False Idols,Olie Bassweight - False Idols EP - 01 False Idols.flac,2656,Olie Bassweight - False Idols EP,Olie Bassweight - False Idols EP
The War On Consciousness LP,Olie Bassweight,2015,http://oliebassweight.bandcamp.com,1,Think For Yourself,Olie Bassweight - The War On Consciousness LP - 01 Think For Yourself.flac,2660,Olie Bassweight - The War On Consciousness LP,Olie Bassweight - The War On Consciousness LP
Live at The Victoria Theatre (2011),Olympus,2015,http://stabbiesetc.bandcamp.com,1,Kina Cut,Olympus - Live at The Victoria Theatre (2011) - 01 Kina Cut.flac,2676,Olympus - Live at The Victoria Theatre (2011),Olympus - Live at The Victoria Theatre (2011)
S/T,One Outs,2015,http://oneouts.bandcamp.com,1,Aneurysm,One Outs - S-T - 01 Aneurysm.flac,2681,One Outs - S-T,One Outs - S-T
Breathtaking Views,Open,2016,http://open-band.bandcamp.com,1,Spill Kit,Open - Breathtaking Views - 01 Spill Kit.flac,2688,Open - Breathtaking Views,Open - Breathtaking Views
CANIS MAJOR (The Greater Dog),Opium Eater,2015,http://opiumeater.bandcamp.com,1,CANIS MAJOR (The Greater Dog),Opium Eater - CANIS MAJOR (The Greater Dog) - 01 CANIS MAJOR (The Greater Dog).flac,2700,Opium Eater - CANIS MAJOR (The Greater Dog),Opium Eater - CANIS MAJOR (The Greater Dog)
